AAAAMMJJ,RR,TNTXM,TNTXM_moy_mois,GLOT_moy_mois
19891229,0,0.2,4.21935483870968,220.064516129032
19891230,0,-0.5,4.21935483870968,220.064516129032
19891231,0,-0.6,4.21935483870968,220.064516129032
19900101,0,-1.3,4.6741935483871,233.225806451613
19900102,0,-0.5,4.6741935483871,233.225806451613
19900103,0,0.7,4.6741935483871,233.225806451613
19900104,0,0.1,4.6741935483871,233.225806451613
19900105,0,1.3,4.6741935483871,233.225806451613
19900106,0,2.8,4.6741935483871,233.225806451613
19900107,0,3.5,4.6741935483871,233.225806451613
19900108,0,5.2,4.6741935483871,233.225806451613
19900109,0,5.6,4.6741935483871,233.225806451613
19900110,0,4.9,4.6741935483871,233.225806451613
19900111,0,4.3,4.6741935483871,233.225806451613
19900112,0.8,1,4.6741935483871,233.225806451613
19900113,2.2,3,4.6741935483871,233.225806451613
19900114,0,3.3,4.6741935483871,233.225806451613
19900115,4.2,5.4,4.6741935483871,233.225806451613
19900116,0.2,8.6,4.6741935483871,233.225806451613
19900117,0,6.9,4.6741935483871,233.225806451613
19900118,0,3.1,4.6741935483871,233.225806451613
19900119,4.8,2.4,4.6741935483871,233.225806451613
19900120,0.2,6.2,4.6741935483871,233.225806451613
19900121,0,7.8,4.6741935483871,233.225806451613
19900122,1.4,5.9,4.6741935483871,233.225806451613
19900123,14,8,4.6741935483871,233.225806451613
19900124,6.2,6.2,4.6741935483871,233.225806451613
19900125,3.4,8.8,4.6741935483871,233.225806451613
19900126,1.6,4.3,4.6741935483871,233.225806451613
19900127,0.2,6.9,4.6741935483871,233.225806451613
19900128,0,6.9,4.6741935483871,233.225806451613
19900129,2.4,5.2,4.6741935483871,233.225806451613
19900130,0.6,8.1,4.6741935483871,233.225806451613
19900131,0,10.3,4.6741935483871,233.225806451613
19900201,5.4,8.1,8.07857142857143,564.25
19900202,0,7.7,8.07857142857143,564.25
19900203,2.2,9.1,8.07857142857143,564.25
19900204,0,6.1,8.07857142857143,564.25
19900205,0,6.1,8.07857142857143,564.25
19900206,0,7.3,8.07857142857143,564.25
19900207,2.6,10.8,8.07857142857143,564.25
19900208,0.6,9.3,8.07857142857143,564.25
19900209,0,6.8,8.07857142857143,564.25
19900210,4.2,6.4,8.07857142857143,564.25
19900211,11.2,5,8.07857142857143,564.25
19900212,6.2,4.6,8.07857142857143,564.25
19900213,11.6,6.3,8.07857142857143,564.25
19900214,28.2,7.6,8.07857142857143,564.25
19900215,0,6,8.07857142857143,564.25
19900216,0.2,4.6,8.07857142857143,564.25
19900217,0.6,6.1,8.07857142857143,564.25
19900218,0,9.9,8.07857142857143,564.25
19900219,0,10.6,8.07857142857143,564.25
19900220,0,14.5,8.07857142857143,564.25
19900221,0,10.7,8.07857142857143,564.25
19900222,0,7.9,8.07857142857143,564.25
